Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
get small business going ,26.614466,1497.000000,577.000000,10.665575
hire people ,5.345148,279.000000,126.000000,4.234783
mitt romney better ,56.602581,8056.000000,2684.000000,8.495035
say shit ,8.088567,534.000000,259.000000,4.125388
blacks ,0.608444,3.000000,2.000000,1.500000
might just ,9.098488,1083.000000,382.000000,4.749110
start ,1.742165,81.000000,40.000000,2.025000
riot ,0.000000,1.000000,1.000000,1.000000
listing ,0.690156,6.000000,4.000000,1.500000
agreements ,0.679693,3.000000,2.000000,1.500000
making ,1.439657,30.000000,18.000000,1.666667
seem like ,13.052960,1300.000000,437.000000,4.850166
fewer differences ,1.073316,17.000000,9.000000,3.875000
motherfucker ,0.662339,6.000000,3.000000,2.000000
timeline ,0.683498,4.000000,4.000000,1.000000
middle school talking ,7.603921,257.000000,126.000000,6.468230
#obama bitch goodmotherfuckingbye ,7.416618,337.000000,132.000000,8.187419
cant vote ,5.393863,205.000000,115.000000,4.457237
affordable ,0.492208,7.000000,2.000000,3.500000
drexel ,0.000000,1.000000,1.000000,1.000000
words ,1.159284,20.000000,13.000000,1.538462
never ,2.177530,101.000000,42.000000,2.404762
sentence ,0.486062,6.000000,4.000000,1.500000
try ,1.416280,25.000000,17.000000,1.470588
obama ,15.681776,1709.000000,751.000000,2.275632
fuck mitt romney ,55.793456,8119.000000,2735.000000,7.907734
middle class tryna make ,11.457868,347.000000,148.000000,10.083165
tryna take ,5.032346,184.000000,77.000000,5.420635
president obama ,25.173860,2573.000000,1129.000000,4.561346
destroy ,0.468067,6.000000,5.000000,1.200000
margrttttt ,0.000000,1.000000,1.000000,1.000000
lehrer looks like ,19.734659,1805.000000,584.000000,9.115572
gets ,1.156408,31.000000,12.000000,2.583333
boner ,0.000000,1.000000,1.000000,1.000000
time ,3.777322,170.000000,90.000000,1.888889
asks ,0.445501,3.000000,2.000000,1.500000
question ,3.412860,101.000000,64.000000,1.578125
obama speaking ,16.964582,1752.000000,769.000000,4.664521
eyes glazing ,1.028604,38.000000,22.000000,3.714286
many words ,2.839497,54.000000,27.000000,3.967033
little substance #denverdebate ,5.843776,151.000000,69.000000,6.794404
watching ,3.296717,158.000000,107.000000,1.476636
debate now lets goooooo mitt romney ,66.205977,8622.000000,2969.000000,19.199031
kill ,1.195890,34.000000,16.000000,2.125000
now bantering ,3.978994,232.000000,89.000000,4.613636
dads reaction ,0.000000,4.000000,2.000000,4.000000
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
debate ,7.669656,432.000000,239.000000,1.807531
funny ,1.424431,44.000000,29.000000,1.517241
even ,2.486239,208.000000,87.000000,2.390805
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
pay ,3.736937,169.000000,76.000000,2.223684
