Word,Prob,Freq,Index
supporting,0.00015,4,1691
role,0.00015,4,1688
boost,0.00015,4,1686
educational,0.00015,4,1684
numbers,0.00015,4,1681
laid,0.00015,4,1650
um,0.00015,4,1647
defense,0.00015,4,1597
curious,0.00015,4,1576
super,0.00015,4,1562
sitting,0.00015,4,1542
began,0.00015,4,1509
ran,0.00015,4,1500
bo,0.00015,4,1496
wondering,0.00015,4,1474
send,0.00015,4,1451
form,0.00015,4,1442
father,0.00015,4,1409
sometimes,0.00015,4,1392
anniversaries,0.00015,4,1385
reelected,0.00015,4,1361
fucked,0.00015,4,1347
write,0.00015,4,1330
#cnn,0.00015,4,1287
#mitt2012,0.00015,4,1266
elected,0.00015,4,1234
basic,0.00015,4,1181
improvement,0.00015,4,1132
showing,0.00015,4,1121
body,0.00015,4,1094
tonight's,0.00015,4,1083
#tlot,0.00015,4,1068
#p2,0.00015,4,1066
tactic,0.00015,4,1059
discussing,0.00015,4,1057
production,0.00015,4,1051
weeks,0.00015,4,1036
immediately,0.00015,4,997
base,0.00015,4,971
touching,0.00015,4,963
saturday,0.00015,4,941
investing,0.00015,4,926
based,0.00015,4,922
dig,0.00015,4,888
keeping,0.00015,4,856
differences,0.00015,4,833
popular,0.00015,4,798
improving,0.00015,4,791
brown,0.00015,4,783
bought,0.00015,4,744
arms,0.00015,4,742
bed,0.00015,4,717
#presidentialdebate2012,0.00015,4,698
tweets,0.00015,4,689
three,0.00015,4,660
food,0.00015,4,621
son,0.00015,4,613
stupid,0.00015,4,552
household,0.00015,4,498
hmm,0.00015,4,475
side,0.00015,4,446
#ndaaruling,0.00015,4,413
month,0.00015,4,412
realistic,0.00015,4,380
#presdebate,0.00015,4,373
supports,0.00015,4,367
relatable,0.00015,4,358
bullshit,0.00015,4,347
federal,0.00015,4,335
confused,0.00015,4,296
meeting,0.00015,4,288
stein,0.00015,4,139
y'all,0.00015,4,82
student,0.00015,4,67
#electionclass,0.00015,4,59
fixing,0.00015,4,55
iin,0.00012,3,8086
civil,0.00012,3,7816
democracy,0.00012,3,7406
cheer,0.00012,3,7218
las,0.00012,3,7136
pee,0.00012,3,7094
grass,0.00012,3,7028
breathy,0.00012,3,6849
begint,0.00012,3,6586
ye,0.00012,3,6459
econ,0.00012,3,6454
loved,0.00012,3,6226
fantasy,0.00012,3,6166
romneyi'll,0.00012,3,6156
